JobID;JobName;Partition;State;ExitCode;Elapsed;ElapsedRaw;Start;End;NodeList;AllocCPUS;NNodes;Reason;Timelimit;TimelimitRaw;WorkDir;ReqMem;MaxRSS;CPUTime;CPUTimeRAW
6991980;ecm_opt_rs_single;tornado;FAILED;1:0;00:00:04;4;2026-04-30T23:52:06;2026-04-30T23:52:10;n01p043;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:03:44;224
6991980.batch;batch;;FAILED;1:0;00:00:04;4;2026-04-30T23:52:06;2026-04-30T23:52:10;n01p043;56;1;;;;;0n;0;00:03:44;224
6991982;ecm_opt_pso_single;tornado;FAILED;1:0;00:00:04;4;2026-04-30T23:52:06;2026-04-30T23:52:10;n01p064;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:03:44;224
6991982.batch;batch;;FAILED;1:0;00:00:04;4;2026-04-30T23:52:06;2026-04-30T23:52:10;n01p064;56;1;;;;;0n;0;00:03:44;224
6991984;ecm_opt_bo_single;tornado;FAILED;1:0;00:00:03;3;2026-04-30T23:52:06;2026-04-30T23:52:09;n01p073;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:02:48;168
6991984.batch;batch;;FAILED;1:0;00:00:03;3;2026-04-30T23:52:06;2026-04-30T23:52:09;n01p073;56;1;;;;;0n;0;00:02:48;168
6991986;ecm_opt_ga_single;tornado;FAILED;1:0;00:00:05;5;2026-04-30T23:52:38;2026-04-30T23:52:43;n01p038;56;1;AssocGrpCpuLimit;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:04:40;280
6991986.batch;batch;;FAILED;1:0;00:00:05;5;2026-04-30T23:52:38;2026-04-30T23:52:43;n01p038;56;1;;;;;0n;0;00:04:40;280
6992092;ecm_plan_multi;tornado;COMPLETED;0:0;00:00:07;7;2026-04-30T23:59:03;2026-04-30T23:59:10;n01p064;56;1;None;02:00:00;120;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:06:32;392
6992092.batch;batch;;COMPLETED;0:0;00:00:07;7;2026-04-30T23:59:03;2026-04-30T23:59:10;n01p064;56;1;;;;;0n;0;00:06:32;392
6992092.0;ecm-optimizer;;COMPLETED;0:0;00:00:01;1;2026-04-30T23:59:09;2026-04-30T23:59:10;n01p064;2;1;;;;;0n;0;00:00:02;2
6992126;ecm_dataset_20_single;tornado;COMPLETED;0:0;00:00:03;3;2026-04-30T23:59:12;2026-04-30T23:59:15;n01p064;56;1;None;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:02:48;168
6992126.batch;batch;;COMPLETED;0:0;00:00:03;3;2026-04-30T23:59:12;2026-04-30T23:59:15;n01p064;56;1;;;;;0n;0;00:02:48;168
6992127;ecm_opt_de_single;tornado;COMPLETED;0:0;00:14:35;875;2026-04-30T23:59:18;2026-05-01T00:13:53;n01p064;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;13:36:40;49000
6992127.batch;batch;;COMPLETED;0:0;00:14:35;875;2026-04-30T23:59:18;2026-05-01T00:13:53;n01p064;56;1;;;;;0n;197252K;13:36:40;49000
6992128;ecm_val_de_single;tornado;COMPLETED;0:0;00:00:30;30;2026-05-01T00:14:06;2026-05-01T00:14:36;n01p064;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:28:00;1680
6992128.batch;batch;;COMPLETED;0:0;00:00:30;30;2026-05-01T00:14:06;2026-05-01T00:14:36;n01p064;56;1;;;;;0n;0;00:28:00;1680
6992129;ecm_opt_rs_single;tornado;COMPLETED;0:0;00:02:50;170;2026-04-30T23:59:18;2026-05-01T00:02:08;n01p073;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;02:38:40;9520
6992129.batch;batch;;COMPLETED;0:0;00:02:50;170;2026-04-30T23:59:18;2026-05-01T00:02:08;n01p073;56;1;;;;;0n;193352K;02:38:40;9520
6992130;ecm_val_rs_single;tornado;FAILED;1:0;00:00:05;5;2026-05-01T00:02:12;2026-05-01T00:02:17;n01p033;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:04:40;280
6992130.batch;batch;;FAILED;1:0;00:00:05;5;2026-05-01T00:02:12;2026-05-01T00:02:17;n01p033;56;1;;;;;0n;0;00:04:40;280
6992131;ecm_opt_pso_single;tornado;COMPLETED;0:0;00:22:35;1355;2026-04-30T23:59:18;2026-05-01T00:21:53;n01p092;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;21:04:40;75880
6992131.batch;batch;;COMPLETED;0:0;00:22:35;1355;2026-04-30T23:59:18;2026-05-01T00:21:53;n01p092;56;1;;;;;0n;308344K;21:04:40;75880
6992132;ecm_val_pso_single;tornado;COMPLETED;0:0;00:00:32;32;2026-05-01T00:22:06;2026-05-01T00:22:38;n01p064;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:29:52;1792
6992132.batch;batch;;COMPLETED;0:0;00:00:32;32;2026-05-01T00:22:06;2026-05-01T00:22:38;n01p064;56;1;;;;;0n;119952K;00:29:52;1792
6992133;ecm_opt_bo_single;tornado;COMPLETED;0:0;00:02:14;134;2026-04-30T23:59:18;2026-05-01T00:01:32;n01p104;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;02:05:04;7504
6992133.batch;batch;;COMPLETED;0:0;00:02:14;134;2026-04-30T23:59:18;2026-05-01T00:01:32;n01p104;56;1;;;;;0n;309604K;02:05:04;7504
6992134;ecm_val_bo_single;tornado;COMPLETED;0:0;00:00:27;27;2026-05-01T00:01:41;2026-05-01T00:02:08;n01p104;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:25:12;1512
6992134.batch;batch;;COMPLETED;0:0;00:00:27;27;2026-05-01T00:01:41;2026-05-01T00:02:08;n01p104;56;1;;;;;0n;0;00:25:12;1512
6992135;ecm_opt_ga_single;tornado;COMPLETED;0:0;00:26:18;1578;2026-05-01T00:02:12;2026-05-01T00:28:30;n01p073;56;1;AssocGrpCpuLimit;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;1-00:32:48;88368
6992135.batch;batch;;COMPLETED;0:0;00:26:18;1578;2026-05-01T00:02:12;2026-05-01T00:28:30;n01p073;56;1;;;;;0n;202304K;1-00:32:48;88368
6992136;ecm_val_ga_single;tornado;COMPLETED;0:0;00:00:31;31;2026-05-01T00:28:50;2026-05-01T00:29:21;n01p064;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:28:56;1736
6992136.batch;batch;;COMPLETED;0:0;00:00:31;31;2026-05-01T00:28:50;2026-05-01T00:29:21;n01p064;56;1;;;;;0n;133420K;00:28:56;1736
6992342;ecm_plan_multi;tornado;COMPLETED;0:0;00:00:04;4;2026-05-01T01:05:45;2026-05-01T01:05:49;n01p042;56;1;None;02:00:00;120;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:03:44;224
6992342.batch;batch;;COMPLETED;0:0;00:00:04;4;2026-05-01T01:05:45;2026-05-01T01:05:49;n01p042;56;1;;;;;0n;0;00:03:44;224
6992342.0;ecm-optimizer;;COMPLETED;0:0;00:00:01;1;2026-05-01T01:05:48;2026-05-01T01:05:49;n01p042;2;1;;;;;0n;0;00:00:02;2
6992343;ecm_dataset_20_single;tornado;COMPLETED;0:0;00:00:04;4;2026-05-01T01:05:51;2026-05-01T01:05:55;n01p042;56;1;None;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:03:44;224
6992343.batch;batch;;COMPLETED;0:0;00:00:04;4;2026-05-01T01:05:51;2026-05-01T01:05:55;n01p042;56;1;;;;;0n;0;00:03:44;224
6992344;ecm_opt_de_single;tornado;COMPLETED;0:0;00:14:25;865;2026-05-01T01:06:08;2026-05-01T01:20:33;n01p042;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;13:27:20;48440
6992344.batch;batch;;COMPLETED;0:0;00:14:25;865;2026-05-01T01:06:08;2026-05-01T01:20:33;n01p042;56;1;;;;;0n;197808K;13:27:20;48440
6992345;ecm_val_de_single;tornado;COMPLETED;0:0;00:00:32;32;2026-05-01T01:21:04;2026-05-01T01:21:36;n01p042;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:29:52;1792
6992345.batch;batch;;COMPLETED;0:0;00:00:32;32;2026-05-01T01:21:04;2026-05-01T01:21:36;n01p042;56;1;;;;;0n;110568K;00:29:52;1792
6992346;ecm_opt_rs_single;tornado;COMPLETED;0:0;00:02:53;173;2026-05-01T01:06:08;2026-05-01T01:09:01;n01p073;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;02:41:28;9688
6992346.batch;batch;;COMPLETED;0:0;00:02:53;173;2026-05-01T01:06:08;2026-05-01T01:09:01;n01p073;56;1;;;;;0n;309628K;02:41:28;9688
6992347;ecm_val_rs_single;tornado;COMPLETED;0:0;00:00:36;36;2026-05-01T01:09:08;2026-05-01T01:09:44;n01p073;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:33:36;2016
6992347.batch;batch;;COMPLETED;0:0;00:00:36;36;2026-05-01T01:09:08;2026-05-01T01:09:44;n01p073;56;1;;;;;0n;86512K;00:33:36;2016
6992348;ecm_opt_pso_single;tornado;COMPLETED;0:0;00:22:14;1334;2026-05-01T01:06:08;2026-05-01T01:28:22;n01p092;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;20:45:04;74704
6992348.batch;batch;;COMPLETED;0:0;00:22:14;1334;2026-05-01T01:06:08;2026-05-01T01:28:22;n01p092;56;1;;;;;0n;200204K;20:45:04;74704
6992349;ecm_val_pso_single;tornado;COMPLETED;0:0;00:00:32;32;2026-05-01T01:28:40;2026-05-01T01:29:12;n01p038;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:29:52;1792
6992349.batch;batch;;COMPLETED;0:0;00:00:32;32;2026-05-01T01:28:40;2026-05-01T01:29:12;n01p038;56;1;;;;;0n;116604K;00:29:52;1792
6992350;ecm_opt_bo_single;tornado;COMPLETED;0:0;00:02:33;153;2026-05-01T01:06:08;2026-05-01T01:08:41;n01p104;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;02:22:48;8568
6992350.batch;batch;;COMPLETED;0:0;00:02:33;153;2026-05-01T01:06:08;2026-05-01T01:08:41;n01p104;56;1;;;;;0n;306060K;02:22:48;8568
6992351;ecm_val_bo_single;tornado;COMPLETED;0:0;00:00:43;43;2026-05-01T01:08:54;2026-05-01T01:09:37;n01p033;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:40:08;2408
6992351.batch;batch;;COMPLETED;0:0;00:00:43;43;2026-05-01T01:08:54;2026-05-01T01:09:37;n01p033;56;1;;;;;0n;82M;00:40:08;2408
6992352;ecm_opt_ga_single;tornado;COMPLETED;0:0;00:32:09;1929;2026-05-01T01:09:54;2026-05-01T01:42:03;n01p033;56;1;AssocGrpCpuLimit;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;1-06:00:24;108024
6992352.batch;batch;;COMPLETED;0:0;00:32:09;1929;2026-05-01T01:09:54;2026-05-01T01:42:03;n01p033;56;1;;;;;0n;201116K;1-06:00:24;108024
6992353;ecm_val_ga_single;tornado;COMPLETED;0:0;00:00:44;44;2026-05-01T01:42:08;2026-05-01T01:42:52;n01p033;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:41:04;2464
6992353.batch;batch;;COMPLETED;0:0;00:00:44;44;2026-05-01T01:42:08;2026-05-01T01:42:52;n01p033;56;1;;;;;0n;302912K;00:41:04;2464
6992354;ecm_analysis_single_dataset_all_methods;tornado;COMPLETED;0:0;00:00:16;16;2026-05-01T01:43:08;2026-05-01T01:43:24;n01p033;56;1;Dependency;12:00:00;720;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:14:56;896
6992354.batch;batch;;COMPLETED;0:0;00:00:16;16;2026-05-01T01:43:08;2026-05-01T01:43:24;n01p033;56;1;;;;;0n;0;00:14:56;896
6993065;ecm_plan_multi;tornado;COMPLETED;0:0;00:00:06;6;2026-05-03T13:08:37;2026-05-03T13:08:43;n01p188;56;1;None;02:00:00;120;/home/ikntcit1/plehanoves/ecm-evolutionary-optimization;0n;;00:05:36;336
6993065.batch;batch;;COMPLETED;0:0;00:00:06;6;2026-05-03T13:08:37;2026-05-03T13:08:43;n01p188;56;1;;;;;0n;0;00:05:36;336
6993065.0;ecm-optimizer;;COMPLETED;0:0;00:00:01;1;2026-05-03T13:08:42;2026-05-03T13:08:43;n01p188;2;1;;;;;0n;0;00:00:02;2
